id,zip,street_city_state,name,address_full,geocoded_address,lat,lon
97,55060,1015 W FRONTAGE ROAD SUITE 105 OWATONNA MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1015 W FRONTAGE ROAD SUITE 105 OWATONNA MN 55060,"1015 W Frontage Rd, Owatonna, MN 55060",44.096342,-93.255977
33,55901,1016 7TH STREET NW ROCHESTER MN,"NATIONAL PAYDAY ADVANTAGE OF MINNESOTA, LLC    ",1016 7TH STREET NW ROCHESTER MN 55901,"1016 7th St NW, Rochester, MN 55901",44.030941,-92.478226
16,56537,102 NORTH CASCADE STREET FERGUS FALLS  MN,"CHECK TREK, INC. DBA PEOPLES SMALL LOAN COMPANY    ",102 NORTH CASCADE STREET FERGUS FALLS  MN 56537,"102 N Cascade St, Fergus Falls, MN 56537",46.283681,-96.07235
5,55434,10553 UNIVERSITY AVENUE NE BLAINE  MN,"SJB ENTERPRISES, INC. DBA YOUR EXCHANGE    ",10553 UNIVERSITY AVENUE NE BLAINE  MN 55434,"10553 University Ave NE, Minneapolis, MN 55434",45.162106,-93.266231
94,55128,1061 GENEVA AVENUE NORTH OAKDALE MN ,KING KONG CASH ,1061 GENEVA AVENUE NORTH OAKDALE MN  55128,"1061 Geneva Ave N, St Paul, MN 55128",44.963901,-92.984719
25,55408,108 EAST LAKE STREET MINNEAPOLIS MN,"EXPRESS PAYDAY LOANS, INC.  ",108 EAST LAKE STREET MINNEAPOLIS MN 55408,"108 E Lake St, Minneapolis, MN 55408",44.948408,-93.276291
1,56308,"110 5TH AVENUE, SUITE 101 ALEXANDRIA  MN",PEOPLE'S SMALL LOAN COMPANY   ,"110 5TH AVENUE, SUITE 101 ALEXANDRIA  MN 56308","110 5th Ave E, Alexandria, MN 56308",45.887065,-95.377252
11,55008,110 MAIN STREET SOUTH  CAMBRIDGE MN ,"BRIDGE FINANCIAL, INC.  ",110 MAIN STREET SOUTH  CAMBRIDGE MN  55008,"110 S Main St, Cambridge, MN 55008",45.57238,-93.223747
9,56401,1121 SOUTH 6TH STREET  BRAINERD  MN,CHECK TREK INC. DBA PEOPLES SMALL LOAN COMPANY  ,1121 SOUTH 6TH STREET  BRAINERD  MN 56401,"1121 S 6th St, Brainerd, MN 56401",46.347154,-94.20062
108,55379,1144 VIERLING DRIVE EAST SHAKOPEE MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1144 VIERLING DRIVE EAST SHAKOPEE MN 55379,"1144 Vierling Dr E, Shakopee, MN 55379",44.781032,-93.509058
128,56187,1151 RYANS ROAD SUITE 108 WORTHINGTON MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1151 RYANS ROAD SUITE 108 WORTHINGTON MN 56187,"1151 Ryans Rd, Worthington, MN 56187",43.634908,-95.598486
79,55120,1155 CENTRE POINT BOULEVARD MENDOTA HEIGHTS MN,GREEN TREE LOAN COMPANY  ,1155 CENTRE POINT BOULEVARD MENDOTA HEIGHTS MN 55120,"1155 Centre Pointe Dr, St Paul, MN 55120",44.881641,-93.150124
6,55434,12000 CENTRAL AVENUE NE  BLAINE  M,"SJB ENTERPRISES, INC. DBA YOUR EXCHANGE  N  ",12000 CENTRAL AVENUE NE  BLAINE  M 55434,,,
126,55987,1201 GILMORE AVENUE WINONA MN,"MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED  ",1201 GILMORE AVENUE WINONA MN 55987,"1201 Gilmore Ave, Winona, MN 55987",44.048483,-91.668604
27,56560,1208 CENTER AVENUE MOORHEAD  M,CHECK TREK INC. DBA PEOPLES SMALL LOAN CO. N  ,1208 CENTER AVENUE MOORHEAD  M 56560,"1208 US-75, Moorhead, MN 56560",46.875105,-96.760313
